"description","category","subcategory","merchant","amount","is_expense"
"Dogs jabs","Pets & Animal Care","Veterinary Bills & Pet Insurance","Sheldrick Wildlife Trust Veterinary Services",630.46,1
"Drinks pale","Food & Dining","Bars & Nightclubs","Le Grenier à Pain",30.13,1
"Rate ni shamba","Housing & Home Expenses","Property Taxes","KK Security Ltd",691.76,1
"Insurance Premiums purchase","Financial Expenses","Insurance Premiums","Victoria Commercial Bank",951.62,1
"Mama Mboga","Gifts & Donations","Personal Gifts","Cancer Awareness Centre of Kenya",535.84,1
"Vitabu shuleni","Education & Learning","Books & Educational Materials","Multimedia University of Kenya",762.37,1
"Sukuma wiki","Food & Dining","Groceries","Mawe Resort Restaurant",4771.5,1
"Dog food kilo","Shopping","Pet Supplies","Maasai Market",532.61,1
"Matatu fare","Housing & Home Expenses","Moving & Relocation","GA Insurance Limited",704.05,1
"Mama Mboga","Gifts & Donations","Personal Gifts","UAP Old Mutual Foundation",382.76,1
"School drama fees","Childcare & Parenting","Extracurricular Activities","Nairobi Waldorf School",787.21,1
"City parking","Transportation","Parking Fees","Kenya Maritime Authority",523.4,1
"Kitabu haki","Income & Earnings","Royalties & Licensing Income","Passive Income",230.78,1
"Simu Imeibiwa","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Legal Fees",381.83,1
"Movie bundle offer","Leisure & Entertainment","Streaming Services","Kenya Film Commission",196.7,1
"Fundi charges","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Legal Fees",882.16,1
"Driving permit renewal","Transportation","Vehicle Registration & Licensing","Easy Coach Ltd.",235.86,1
"Mbwa safi","Pets & Animal Care","Grooming & Pet Spa Services","Kenya Wildlife Veterinary Unit",557.51,1
"Tyre puncture repair","Transportation","Car Maintenance & Repairs","DHL Worldwide Express Kenya Limited",656.09,1
"Charitable Donations purchase","Gifts & Donations","Charitable Donations","The Fred Hollows Foundation Kenya",529.18,1
"School shoes mpya","Childcare & Parenting","Children's Clothing & Shoes","Kids Fashion Kenya",534.64,1
"Graphics design job","Business & Work Expenses","Freelancer Payments","Kenya Business Registration Service",556.85,1
"Paka boarding","Pets & Animal Care","Pet Boarding & Sitting","Upper Hill Veterinary Clinic",367.68,1
"Zinc Lozenges","Health & Fitness","Supplements & Vitamins","Platinum Physiotherapy Centre",793.33,1
"DSTV premium package","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Overdraft Fees",194.51,1
"Sukuma wiki","Food & Dining","Groceries","The Lighthouse Restaurant",825.84,1
"Zawadi harusi","Gifts & Donations","Wedding & Birthday Gifts","Kibera Pride Foundation",375.46,1
"Dog vaccine booster","Pets & Animal Care","Veterinary Bills & Pet Insurance","Pet Store Kenya",755.93,1
"Chips and chicken","Food & Dining","Takeout & Delivery","La Marina Restaurant",569.17,1
"Chama contribution","Financial Expenses","Investment Contributions","Kenya Mortgage Refinance Company",659.67,1
"Dawa mbwa","Pets & Animal Care","Pet Medications","Mammals & More Pet Store",552.31,1
"Chapati madondo","Food & Dining","Takeout & Delivery","The Sands at Nomad",900.0,1
"Stapler refills","Business & Work Expenses","Office Supplies","Kenya Private Sector Alliance (KEPSA)",118.32,1
"Fundi callout","Miscellaneous & Unexpected Expenses","Emergency Expenses","Overdraft Fees",733.62,1
"Matatu fare","Transportation","Public Transit","Fright In Time Ltd.",277.6,1
"Cable & Streaming Services purchase","Utilities","Cable & Streaming Services","Tropical Power Energy Group",621.77,1
"Nairobi round trip","Travel & Vacation","Flights","Airbnb",244.55,1
"Simu imeibiwa","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Legal Fees",138.66,1
"Petrol full tank","Utilities","Gas","Frontier Optical Networks",516.94,1
"Shamba rent","Income & Earnings","Rental Income","Investment Income",664.87,1
"Hotel room","Business & Work Expenses","Business Travel Expenses","The Mint Hub",13.42,1
"Simu imeibiwa","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Overdraft Fees",675.74,1
"Stapler na wino","Business & Work Expenses","Office Supplies","Metta Nairobi",700.04,1
"Kitenge refund","Income & Earnings","Refunds & Rebates","Lottery Winnings",652.41,1
"Billboard placement fee","Business & Work Expenses","Advertising & Marketing","Family Bank SME Solutions",764.93,1
"Kitenge fabric","Shopping","Clothing & Accessories","Rupa's Mall Eldoret",61.03,1
"Dog food refill","Pets & Animal Care","Pet Food & Treats","Little Friends Animal Shelter",387.54,1
"Helb installment","Education & Learning","Student Loans Repayment","Andela",828.75,1
"Simu imeibiwa","Miscellaneous & Unexpected Expenses","Lost or Stolen Items","Repairs",653.24,1
"Tooth extraction pain","Health & Fitness","Dental Care","Elite Fitness Gym",921.17,1
"Chips funga","Food & Dining","Fast Food","Yejoka Garden",955.09,1
"Maji safi","Utilities","Water","Strathmore Energy Research Centre",703.15,1
"Dawa ya malaria","Health & Fitness","Prescription Medications","Access Afya",376.79,1
"Title deed stamp","Legal & Professional Services","Notary Services","Professional Business Consultants Kenya",219.62,1
"Theater & Performing Arts purchase","Leisure & Entertainment","Theater & Performing Arts","Alliance Française Nairobi",95.35,1
"Shamba rates","Housing & Home Expenses","Property Taxes","Chloride Exide Kenya Ltd",322.4,1
"Umeme Julai","Utilities","Electricity","Tropical Power Energy Group",242.13,1
"Mama mboga","Gifts & Donations","Tips & Gratuities","Kenya Society for the Blind",533.38,1
"Lotion ya ngozi","Shopping","Beauty & Skincare","Prestige Plaza",79.73,1
"Salon manicure","Personal Care & Grooming","Salons & Beauty Treatments","Soft & Beautiful Kenya",702.65,1
"Shop signage renewal","Business & Work Expenses","Business Insurance","Uwezo Fund",390.5,1
"Salon shave fade","Personal Care & Grooming","Haircuts & Barber Services","Sheth Naturals",497.27,1
"Petrol ya gari","Transportation","Fuel & Gasoline","Maersk Logistics and Services Kenya Limited",906.77,1
"DSTV Premium","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Repairs",532.21,1
"Bodaboda coverage","Business & Work Expenses","Business Insurance","Zoom Kenya",914.06,1
"Shuka ya Krismasi","Gifts & Donations","Holiday Gifts","GlobalGiving Kenya",507.72,1
"Marathon registration fee","Leisure & Entertainment","Sporting Events","Kenya Film Classification Board",912.93,1
"Petrol station refill","Utilities","Gas","Kenya Electricity Transmission Company (KETRACO)",643.0,1
"Bundle ya wiki","Utilities","Mobile Phone Bills","Vivo Energy Kenya",80.67,1
"Late library book","Miscellaneous & Unexpected Expenses","Fines & Penalties","Overdraft Fees",305.33,1
"ATM withdrawal charges","Financial Expenses","Bank Fees","Tala",424.89,1
"Taxi & Ride-sharing purchase","Transportation","Taxi & Ride-sharing","Tata Trucks and Tractors",637.83,1
"Kitenge fabric","Income & Earnings","Gifts Received","Refunds",527.4,1
"Card service","Financial Expenses","Credit Card Annual Fees","Faulu Microfinance Bank",782.21,1
"Shuttle to Kisumu","Transportation","Airfare & Flights","Smartbox Courier & Fulfillment",122.69,1
"SACCO contribution","Financial Expenses","Investment Contributions","KCB Bank",498.79,1
"Chapati kwa watoi","Financial Expenses","Credit Card Annual Fees","Visa",763.1,1
"Frames replacement","Health & Fitness","Vision Care","Coptic Hospital",321.26,1
"Grammarly premium annual","Business & Work Expenses","Software & SaaS Subscriptions","HubSpot Kenya",115.01,1
"Advocate consultation fee","Business & Work Expenses","Professional Services","Kenya Revenue Authority (KRA)",768.92,1
"Banners za biashara","Business & Work Expenses","Advertising & Marketing","The Twig Coworking",136.26,1
"Maasai shuka","Travel & Vacation","Souvenirs & Gifts from Travel","Kenya Wilderness Safaris",183.79,1
"Boda boda fare","Business & Work Expenses","Advertising & Marketing","DHL Express Kenya",824.9,1
"Team sales incentive","Income & Earnings","Bonuses & Commissions","Pension & Retirement",649.41,1
"Shylock loan","Financial Expenses","Loan Repayments","American Express",291.36,1
"pedicure","Personal Care & Grooming","Manicure & Pedicure","Beauty Salon",500.0,1
"Paka vet check","Pets & Animal Care","Veterinary Bills & Pet Insurance","Paws & Claws Pet Store",24.2,1
"Ear lobe piercing","Personal Care & Grooming","Tattoos & Piercings","Salon Pro Kenya",125.54,1
"Late library book","Miscellaneous & Unexpected Expenses","Fines & Penalties","Overdraft Fees",435.23,1
"Sewing class fee","Education & Learning","Workshops & Seminars","Kenya National Examinations Council (KNEC)",233.69,1
"Manicure pedicure","Personal Care & Grooming","Salons & Beauty Treatments","L'Oréal Kenya",185.11,1
"Vitabu shuleni","Leisure & Entertainment","Books & Magazines","Homeboyz Radio",155.69,1
"Fundi wiring","Miscellaneous & Unexpected Expenses","Repairs & Maintenance","Repairs",725.78,1
"Nyumba kodi","Income & Earnings","Rental Income","Gifts Received",686.1,1
"Card renewal fee","Financial Expenses","Credit Card Annual Fees","Branch International",484.72,1
"Mama mboga","Gifts & Donations","Tips & Gratuities","Cross Catholic Outreach Kenya",652.75,1
"Land case retainer","Legal & Professional Services","Lawyer Fees","Legal Compliance Training Kenya",848.17,1
"* Multi-vitamins refill","Health & Fitness","Supplements & Vitamins","Radiant Group of Hospitals",808.57,1
"School fees","Gifts & Donations","Fundraisers & Contributions","WE Charity Kenya",550.81,1
"Kids movie outing","Childcare & Parenting","Babysitting & Nanny Services","Birthday Party Planners for Kids",907.71,1
"Shamba loan","Financial Expenses","Credit Card Annual Fees","Cooperative Bank",588.04,1
"Stapler refills","Business & Work Expenses","Office Supplies","Google Workspace Kenya",50.72,1
"Aroma massage therapy","Health & Fitness","Wellness & Spa Treatments","Kenyatta University Teaching,Referral & Research Hospital",698.41,1
"Kamusi ya Kiswahili","Education & Learning","Books & Educational Materials","Prestige Bookshop",495.48,1
"Nyumba kodi","Income & Earnings","Rental Income","Passive Income",861.18,1
"Nairobi return trip","Travel & Vacation","Flights","IntoAfrica Eco-Travel",231.07,1
"Wellness session","Health & Fitness","Mental Health Therapy","VMX Fitness",781.0,1
"Fumigation ya mende","Housing & Home Expenses","Pest Control","Kenindia Assurance Company",173.35,1
"Safari na lunch","Travel & Vacation","Tours & Excursions","Southern Cross Safaris",894.02,1
"Nyama choma","Business & Work Expenses","Client Meals & Entertainment","Kenya Climate Innovation Center",156.32,1
"Nyumba kodi","Income & Earnings","Rental Income","Land Leasing",85.14,1
"Dental check-up","Health & Fitness","Medical Bills","Kenya Red Cross Society",600.81,1
"Pilau masala","Food & Dining","Specialty Foods","K'Osewe Ranalo Foods",924.31,1
"KRA filing asubuhi","Legal & Professional Services","Tax Preparation Services","TripleOKLaw LLP",24.86,1
"Sabuni na mafuta","Personal Care & Grooming","Personal Hygiene Products","Zerufi Organics",218.6,1
"Paka boarding","Pets & Animal Care","Pet Boarding & Sitting","Nairobi Vet Centre",945.96,1
"Lorry diesel refill","Transportation","Fuel & Gasoline","Tracking Hub Limited",507.9,1
"Matatu fare","Transportation","Vehicle Leasing & Rentals","Uber",435.92,1
"KRA payment","Financial Expenses","Taxes","American Express",889.48,1
"Kikapu ya mboga","Leisure & Entertainment","Concerts & Live Events","Concerts & Live Events Co.",197.84,1
"Vision Care purchase","Health & Fitness","Vision Care","Mediheal Group of Hospitals",67.39,1
"Sacco contribution","Legal & Professional Services","Financial Advisors","Kenya Institute of Management (KIM)",151.22,1
"School shoes","Childcare & Parenting","Children's Clothing & Shoes","Little Angels Playgroup",646.42,1
"Orphanage support","Gifts & Donations","Charitable Donations","Big Brother Foundation Kenya",561.79,1
"Matatu fare","Housing & Home Expenses","Moving & Relocation","Solai Paints",458.39,1
"Bundle ya data","Leisure & Entertainment","Video Games & Online Gaming","Kenya National Theatre",287.26,1
"Sauti Sol tickets","Leisure & Entertainment","Concerts & Live Events","Vox Events Hub (Voxvents)",378.24,1
"Domain renewal","Business & Work Expenses","Website Hosting & Domains","Ziada Business Hub",372.53,1
"Passport application fees","Travel & Vacation","Visa & Passport Fees","Kenyaways Beach Bed & Breakfast",451.03,1
"Billboard space","Business & Work Expenses","Advertising & Marketing","Evernote Kenya",673.71,1
"Sisters new dress","Gifts & Donations","Holiday Gifts","The Dr. Choksey Albinism Foundation",807.32,1
"Business permit renewal","Legal & Professional Services","Licensing & Permits","DLA Piper Africa Kenya",312.55,1
"Msoto skills upgrade","Education & Learning","Workshops & Seminars","Multimedia University of Kenya",340.27,1
"DSTV subscription","Miscellaneous & Unexpected Expenses","Subscriptions & Memberships","Overdraft Fees",426.82,1
"Renewal driving license","Transportation","Vehicle Registration & Licensing","Kenya Maritime Authority",812.61,1
"Vitabu shule","Leisure & Entertainment","Books & Magazines","Milele FM",593.48,1
"School fees kidogo","Gifts & Donations","Fundraisers & Contributions","UNHCR Kenya",693.66,1
"Mobile Phone Bills purchase","Utilities","Mobile Phone Bills","Azuri Technologies",55.29,1
"Title deed transfer","Legal & Professional Services","Notary Services","ADR Kenya (Alternative Dispute Resolution)",248.48,1
"Vet check-up","Pets & Animal Care","Veterinary Bills & Pet Insurance","Organic Pet Food Kenya",620.13,1
"Shillingi ya ushauri","Legal & Professional Services","Financial Advisors","Forensic Accounting & Fraud Investigation Kenya",410.78,1
"Late library book","Miscellaneous & Unexpected Expenses","Fines & Penalties","Repairs",531.2,1
"Sewing class fee","Education & Learning","Workshops & Seminars","University of Nairobi",335.76,1
"Dogs vaccinations","Pets & Animal Care","Veterinary Bills & Pet Insurance","VetCare Animal Supplies",289.25,1
"Land title transfer","Legal & Professional Services","Notary Services","Technology & Innovation Law Kenya",425.43,1
"Sabuni na mafuta","Personal Care & Grooming","Personal Hygiene Products","Paks Cosmetics Kenya",416.61,1
"Land case retainer","Legal & Professional Services","Lawyer Fees","Public Notary Services Nairobi",385.44,1
"Floor pamba kazi","Housing & Home Expenses","Home Cleaning Services","Trident Insurance Company",741.48,1
"Dawa ya kienyeji","Health & Fitness","Alternative Medicine","Avenue Hospital",148.48,1
"WiFi recharge","Utilities","Internet Service","d.light Solar",21.26,1
"Dog food kilo","Shopping","Pet Supplies","Prestige Plaza",927.3,1
"Matatu license renewal","Legal & Professional Services","Licensing & Permits","ADR Kenya (Alternative Dispute Resolution)",254.46,1
"Fuel for boda","Utilities","Gas","Kenya Nuclear Electricity Board",11.69,1
"Movie night subscription","Leisure & Entertainment","Streaming Services","Planet Media Cinemas",803.19,1
"Dawa ya miti","Health & Fitness","Alternative Medicine","Nazareth Hospital",150.44,1
"Thika highway toll","Transportation","Road Tolls","Amitruck",758.26,1
"Marathon registration fee","Leisure & Entertainment","Sporting Events","MTV Base Africa",752.17,1
"Video game loan","Shopping","Toys & Games","Kitale Mega Centre",33.45,1
